GT,Result
253752 83997 814666 807157 99114 216739 698754 829006 516877 969077 ,684146 107165 659149 80539 129998 452455 566344 253752 628141 716557 
261483 997991 367417 95166 798633 204546 635099 385046 518607 824463 ,115705 529386 449192 65884 506516 599083 892717 527587 181040 294375 
986900 243550 243924 677012 278113 160548 130138 370847 65287 418640 ,150140 183495 579834 119902 388385 590917 943826 606364 611783 160548 
748442 834734 488761 390854 97230 8828 56828 68699 892496 149513 ,379342 502144 82856 703517 485592 526255 757444 343125 598086 566119 
279228 479709 386729 894096 305031 67119 55553 122359 602480 315308 ,776381 292088 480213 342431 354184 247392 22261 307256 280527 903495 
30466 1550 267829 617177 426663 748630 16722 855609 106600 821969 ,290437 290991 426818 527194 366732 525294 376134 210836 690272 599453 
827499 16066 844970 147146 612720 386237 170534 695816 503636 734338 ,421151 718780 77848 386237 525843 693889 67604 213653 832680 482892 
509335 361119 343066 705930 476785 829884 106335 949207 475629 498876 ,811809 829884 343066 473477 135143 203575 64425 851642 256052 949207 
745558 266497 773265 596512 60814 455744 845267 296299 62879 62798 ,378183 889154 563266 595713 391716 193275 877828 881713 888133 266497 
561481 276008 978056 628479 638799 863898 370655 994561 339272 350720 ,72888 500976 59755 482684 46225 414309 59419 515272 494103 60842 
653703 85199 554870 696029 869803 289943 966787 376277 107780 869759 ,491784 489515 489879 494685 503685 514998 793166 102144 141216 123914 
86984 123447 111735 125260 177809 950276 537445 286861 582929 493229 ,383262 320756 811658 476012 501560 334654 34443 51935 824728 642064 
301575 627990 20646 181462 268264 380232 49731 829683 966233 493229 ,38346 425845 695785 38141 150140 71274 635306 605848 398018 884537 
467760 21253 469190 225648 282130 192424 178862 747427 597521 15989 ,19468 711854 727404 192236 70301 752826 614706 795275 153055 312880 
360932 510266 479838 231262 792199 558524 350860 313798 716522 130334 ,360932 520741 350537 363905 500537 151870 510266 708723 355940 479838 
854812 500558 505525 620509 593721 302296 569131 333723 690101 320916 ,860467 381658 309064 682179 573977 923217 966233 577121 62879 264484 
269231 256871 157443 15105 852998 289089 436965 824601 406151 343295 ,202178 482641 98996 244879 490433 840558 838163 774254 4021 435182 
62879 596512 361009 608331 224561 491912 61471 719587 18080 138270 ,948770 230946 895563 97794 507178 833857 886845 749848 660941 433679 
525240 105156 896715 528918 261483 68416 389930 83901 699830 806878 ,116604 497354 825538 523040 30071 305027 716523 830709 615774 567735 
167208 268856 617963 170475 198529 614134 962014 868882 28372 702044 ,883260 776737 640340 254510 74646 103658 443651 584092 955101 641819 
94099 378938 336859 536312 518085 493118 329704 627915 463275 921035 ,351049 689652 321939 46015 958752 292772 770602 746122 278782 475159 
287950 417112 793770 719820 750989 367213 837907 212948 635555 676798 ,66492 524628 381366 81834 487690 916979 492068 527448 287950 589400 
836748 872159 248580 490300 879722 803036 341595 505231 372437 261393 ,386938 169516 860823 377342 688789 946970 106336 524055 431436 365487 
699830 289288 200062 61303 429704 672708 467931 196950 514088 415294 ,490209 379459 207373 272577 82718 245334 770264 261917 92448 528533 
410567 444790 107713 903852 62879 561074 682045 217764 258408 896507 ,411280 218138 903852 985761 561074 682045 5400 217764 63170 571443 
636826 540129 527344 659552 488761 16722 100496 175122 510313 744649 ,799506 442199 304103 600975 993340 552943 240525 356810 353457 754770 
463411 267829 607978 778081 485064 420270 426663 106600 451647 960684 ,693646 484031 328413 733721 300338 267829 978464 354478 183648 404827 
742221 459034 423269 353362 392578 571377 367417 136532 644078 521504 ,283927 493533 345556 18369 409135 463588 126812 475229 485194 366219 
321175 165200 189733 983398 144999 538487 165119 531709 671882 810430 ,640683 414927 572526 494858 310184 541949 820564 800104 863506 310601 
535070 887583 364474 72746 170448 80802 32587 712709 983420 788491 ,473408 982705 736430 977558 144353 733181 200221 264499 352932 362320 
782969 446756 692115 422563 698478 661486 170122 518496 353465 702058 ,151972 412812 689886 26679 242413 221842 429871 305388 175475 558736 
463411 30466 617177 234162 904624 254928 332869 722979 341394 597526 ,580956 934041 275158 470734 553723 575274 986055 670400 713102 632729 
838550 870637 184535 377674 873787 452978 828305 20551 513152 152775 ,150753 796790 63400 237178 727276 90190 973786 64591 196376 728831 
426464 179870 426925 890518 401209 153329 188002 547349 926997 79529 ,426464 694097 350618 723193 420779 167784 179870 96619 532570 279910 
986900 275699 781572 358064 509335 396416 478377 231791 594119 905442 ,396416 369737 231791 75305 4138 594119 4129 432526 485208 830837 
842271 503698 856877 828498 106335 952494 494831 756342 130138 132586 ,733898 768881 967303 222713 563695 750734 338410 656366 577873 842670 
338599 671258 960042 29640 234007 955938 33681 316266 127361 643344 ,29640 535056 17039 796438 183059 642362 210241 294471 127361 338599 
968397 531915 93434 690553 687250 435346 74372 16350 152775 969192 ,968397 202278 531915 434516 897013 90069 982026 723158 651064 481264 
890152 823305 927154 130138 920175 252885 485024 19792 395993 269546 ,588394 820872 801920 501980 867933 206490 691567 383436 504459 205287 
12992 842271 297636 952494 520564 485024 478377 328296 128847 343930 ,197829 730808 872766 795295 505029 376244 265435 385520 384110 798497 
886085 803507 142141 423806 126794 246695 453260 468666 979949 294291 ,472415 482167 131078 337219 886085 924612 129922 264878 279796 811714 
500558 128847 352465 320916 450451 476785 793605 361119 819086 702274 ,606686 677702 926143 757805 673861 830795 791475 702274 892814 881791 
842271 230396 865567 986900 251462 370847 130138 62538 889296 418640 ,963071 487798 105706 892043 196647 913939 421803 393659 861996 251462 
417112 925400 293448 518414 281026 234553 666275 550713 30466 915316 ,724028 243691 354685 472898 570243 747868 4889 148000 278291 469222 
535070 897731 576236 494354 995870 552266 149762 367417 741628 610061 ,897731 576236 535070 494354 850398 552266 367417 741628 521504 995870 
655930 659552 141828 469320 946106 937360 337500 963910 250703 380495 ,500803 795402 499751 497250 795292 434199 14016 116562 497125 452401 
136532 22590 576236 429991 254928 531166 297000 376277 617177 792348 ,511087 510895 422583 30346 151266 397232 438416 163308 422644 688982 
944559 385015 30466 979573 332869 742221 204546 566262 94099 576153 ,292074 307050 784804 854950 473209 663238 511065 373162 527093 20904 
298796 232811 966787 385015 377580 30466 882272 71003 146260 249055 ,258329 486744 112421 549464 860215 337159 564778 860310 813751 859865 
115119 62879 220785 691565 62798 304607 793800 562260 196644 571340 ,237821 577961 589411 288774 726370 129112 510903 223152 133843 483829 
886142 818073 827499 848871 102818 370847 490300 906698 936346 243026 ,866559 243296 120295 477304 962573 244030 950998 971476 530825 257761 
187533 696367 547719 70157 380644 595171 464899 516549 646200 392107 ,160962 796770 430816 837962 281995 201472 151960 837997 745753 93532 
28076 487304 692000 537773 499431 566147 264503 193479 323260 687426 ,138899 717927 28076 340483 389601 475856 984893 407658 966178 815183 
526355 143127 338339 183008 176786 661918 518496 770378 495030 20107 ,98960 526974 526702 305214 826243 631965 526355 364120 143127 90120 
843822 205855 490305 748238 845267 233542 540601 355451 896960 57148 ,272185 932761 849913 273463 540222 503383 843822 935256 276407 934745 
267829 426663 68416 170602 974097 463411 645524 774324 153704 666275 ,512331 262305 738347 740366 424548 738340 785415 637422 753345 428532 
446957 969865 237971 525240 413916 352702 326545 106331 106600 503954 ,732573 458418 921975 458756 687701 899686 215022 284726 809877 283572 
200062 822117 699830 289288 370357 429704 105156 61303 389930 576153 ,226635 17823 928176 460385 684365 293435 459225 295385 501736 836445 
510313 82749 294597 97827 560813 530580 256404 358321 32352 952863 ,860629 409941 178609 377052 241244 80424 142228 308206 749291 238589 
67526 268688 860637 929543 440516 194483 492489 949181 275882 144999 ,364684 595057 67526 584674 18957 977709 550789 978440 877034 399963 
496733 493292 749876 242736 750757 910323 489744 30306 844843 119349 ,435353 723069 334132 684619 255455 24868 125460 30889 622806 337452 
531690 297636 450451 869137 392147 209211 158115 65287 854526 407474 ,209211 158115 983018 251267 65287 825782 228545 831672 854526 531690 
105103 154288 685841 663734 82874 197023 246611 765610 795638 105156 ,105103 97144 129851 246642 743095 659996 511337 154288 685841 663734 
12440 79600 372990 538092 241457 809945 712709 961924 256081 842352 ,124128 16532 832984 315171 742053 412133 463875 741760 16530 791392 
350659 833438 515141 363433 350618 658163 825551 303064 238223 826936 ,515549 660459 126212 58827 529585 691443 659542 84549 658494 711937 
994017 414491 521967 529783 362577 865594 101277 265131 979790 310694 ,621621 458644 313602 365407 85199 178447 82241 429991 551752 367423 
102818 130138 471923 503698 756342 942514 845267 627330 411391 549888 ,931623 861766 259474 112134 401688 381252 919824 867502 130138 168617 
30466 617177 627915 80802 72746 616326 748630 32352 535070 41287 ,188705 646318 724081 115441 79553 427601 139286 780355 169903 307314 
869935 605126 624580 403150 478377 906630 668325 415384 645154 918353 ,716273 583753 56046 921093 416364 617961 611391 252390 747896 869935 
494013 902580 814897 286825 563844 354808 618152 618982 887751 178601 ,586272 774336 813745 112952 173275 102004 701076 364998 878335 743974 
646045 454753 635678 403682 316409 836270 297805 712755 128847 85075 ,696822 961382 289326 506071 682284 21799 961789 707545 68726 738897 
698478 305031 370353 120761 136532 322896 664567 96003 902967 659613 ,512312 513152 512393 406410 399443 290121 602968 301276 294882 725452 
835845 598413 420092 565155 256442 225129 12112 331884 905019 904402 ,461751 527350 416290 514635 122775 59936 725932 495362 488450 678594 
636826 642464 667048 824226 979573 915141 16722 488761 892963 210214 ,823535 654857 770278 654171 719820 571390 764574 540977 179214 113034 
485024 296299 754429 915916 345067 309494 220539 100816 98163 285803 ,393065 414972 705433 829884 133880 917014 878366 288037 681403 41377 
478377 377098 232776 374891 609206 99644 829853 65287 12992 611505 ,732841 153526 887099 917135 474487 180737 912399 226575 752678 909024 
30466 18684 293725 16722 29963 566262 66219 30201 662725 32352 ,85863 664779 531459 29963 566262 156343 530686 722754 30201 194858 
523176 249055 725467 230255 276142 192427 234553 730514 262629 722979 ,343467 497693 512938 188507 554278 838274 548089 550115 383077 22627 
100496 304992 364938 61303 834734 944559 629929 262629 513843 232811 ,4496 705483 514317 998126 929698 505518 293350 937228 15290 815066 
476785 819086 47941 665674 399290 333723 227719 500558 107713 455668 ,590145 482056 843901 808894 144272 113163 591091 240925 985037 385574 
381568 125260 128964 84811 441561 690101 126521 488761 824226 562260 ,52369 410948 411032 51066 53444 499976 824790 196104 409527 441561 
503698 473460 562527 102818 834237 986900 692000 818073 842271 147125 ,531487 165540 592691 129267 35032 505956 383674 50058 15606 756674 
417112 267829 500480 577958 159032 100496 59029 667048 30466 834734 ,628497 522524 237998 309635 405623 755060 929788 520510 80801 366726 
742928 944042 370847 439594 836748 395623 226730 361119 450451 770844 ,513826 676678 398919 792015 20020 680003 622196 277021 270091 281447 
128847 343066 450451 394089 454753 509335 538689 476785 470857 841399 ,620366 881141 707289 278390 862370 882932 882926 59863 72751 204709 
523176 555486 658248 987208 372567 70116 262629 748442 825684 225985 ,955897 151275 791158 524124 110648 92320 896715 175106 414654 322485 
30466 513843 617177 742221 136532 204546 72746 627915 267829 698478 ,615228 230651 791869 151693 572365 67217 854843 105078 151951 67088 
136532 944559 861433 576153 437003 524885 818313 45976 172317 285473 ,351260 411619 364055 567884 663475 105026 662716 977119 188392 187680 
590441 712709 617177 46766 258115 801059 19912 94099 946303 701984 ,528890 210475 238577 735409 888629 883464 533333 572869 904000 682984 
62879 832884 730609 726954 36695 116588 944814 220785 98602 170578 ,203992 946779 619922 799543 870123 926973 395855 508882 234204 715370 
83901 232811 748502 132449 99040 495940 202567 834210 575189 152775 ,342922 136296 285636 694785 151491 693907 77136 903597 288146 701760 
748630 30466 926997 312125 213274 59470 173310 627915 10497 513843 ,168906 731184 747984 242157 781093 441175 93591 517366 342292 169720 
68416 522276 267829 106600 30245 25316 391872 5373 437003 698478 ,82134 104718 157950 400622 776802 521866 469759 429541 350406 305187 
386729 326715 201000 67119 863520 966787 177706 453074 279137 518414 ,63789 31059 74788 751636 866028 725193 522735 259963 722641 85901 
967845 608670 414491 419339 532802 429503 947494 194300 994017 18040 ,597571 263780 190415 168557 108169 528136 800434 149570 535249 298609 
331722 828498 392297 612801 481267 966233 598413 531690 500558 297636 ,513537 318792 752937 424766 210178 940813 233603 997228 888664 929001 
698478 528918 410914 469190 305031 294597 332869 185429 33657 340849 ,439665 526645 920599 247981 569887 27108 249829 80826 81379 426456 
432879 20066 210563 720199 290740 501108 725467 911177 192427 308802 ,719417 197884 21921 105741 243730 262565 588999 276396 193235 190534 
509335 657186 340083 901655 842271 870441 498876 106335 361119 757775 ,405803 544775 901655 962997 852959 870441 950954 650576 67939 610126 
828498 904876 890416 394310 850970 819086 723620 365680 895459 923221 ,691284 687561 799338 157347 219837 123830 79230 868404 844118 730581 
62879 614134 987344 856836 92085 787368 62798 395782 513160 813663 ,395004 907393 898751 64321 953475 75568 229120 148967 100792 513160 
827499 614134 531690 333414 39494 927850 848871 881863 102818 111985 ,852715 447732 283625 867047 455341 330853 304664 76832 57426 98768 
100496 437003 414491 698478 267829 518414 30466 389902 403966 136532 ,354239 480452 466663 66799 152967 63929 92921 83929 364759 816250 
742221 72746 136532 523176 978846 725467 629929 821040 172317 944559 ,419586 783399 723494 808269 307715 699395 808239 725886 306087 323588 
378496 72746 849653 40243 617177 742221 45568 500560 479000 636826 ,51124 500560 415772 39446 65827 424955 210427 411463 521203 617267 
848871 475629 531690 840265 48205 854911 494831 632643 520434 849135 ,283607 411288 799385 833428 283853 802817 68940 399307 9647 930175 
30466 304992 748630 513843 290740 420081 260024 865883 883464 169903 ,597938 524643 441357 524867 278666 264063 685096 88046 922289 467603 
44418 898895 796183 395245 844385 855697 892023 8946 960042 245048 ,71320 633875 481267 703498 400218 601989 517994 997739 79240 895481 
546348 429625 492058 617177 650539 296208 289288 872028 314108 906016 ,906016 546348 516322 429625 501938 4692 753129 7421 85379 492058 
627915 488761 636826 979573 429704 793722 100496 659552 834734 824226 ,387548 387298 254986 672526 307262 561930 713874 308714 534418 429305 
788491 136532 879596 122686 59183 83127 414491 242816 85572 364759 ,514253 23066 695594 397045 280834 903600 413719 364011 305598 180668 
385015 188769 105103 911177 463411 473369 104898 309759 418618 519294 ,514223 514195 232780 233480 450899 726214 514338 302783 725787 365047 
249336 304992 996213 249055 301307 225985 518635 179118 269559 420081 ,255966 122608 336872 351308 429405 736904 279185 337009 664168 321505 
172317 136532 83127 414491 553407 242816 820658 788491 518504 62407 ,407253 607107 567188 726874 910869 163727 490668 50595 54354 339219 
30466 627915 617177 636826 72746 979573 742221 267829 554870 390187 ,351667 98400 281661 155286 602514 514308 503892 61356 157605 497387 
516567 203355 430148 391742 523072 807019 168392 294892 394441 850352 ,515682 516567 203355 291873 430148 458741 391742 523072 807019 548333 
326935 948916 725467 487498 41193 263205 309634 69444 541064 492978 ,559731 806991 278333 807027 326935 392862 432124 781921 480712 87433 
85418 332869 864422 699830 859931 806878 723670 172317 952920 329385 ,726234 400174 556969 85418 933637 949952 404052 498821 383063 808097 
68699 70116 305419 11271 385015 390854 552077 736763 757319 500723 ,15706 635077 176834 199816 34616 432534 272103 847060 412628 267761 
289288 30466 267829 417112 617177 295957 509326 627915 355017 100496 ,84569 515029 252802 629832 104924 863863 105608 790387 122527 323932 
629013 465483 420270 106458 778081 485064 451722 44476 68416 730514 ,514179 62961 345829 391850 480426 215389 289085 331902 517079 615870 
136532 172317 742221 414491 30466 80802 576236 659613 911677 518504 ,516392 367466 367076 125329 602353 534453 940934 293221 368843 293466 
500558 538689 992212 854812 320916 944197 895459 100816 770844 719587 ,848131 913231 886365 923217 912893 987295 912910 527497 561196 15929 
617177 30466 267829 332869 528918 377767 72746 627915 385767 16722 ,174654 740847 380990 138685 619019 31507 513631 435077 698654 504479 
2232 748332 316529 12368 513160 329794 466181 730899 608711 79325 ,466228 228642 129734 849304 867792 166458 285616 379684 161778 164201 
698478 510313 997991 627800 16722 332869 229136 473396 600758 8828 ,133216 495955 713388 127464 186326 336758 146324 525009 770381 74511 
844970 588387 854364 62879 797665 812437 196816 349820 147146 338599 ,67502 266779 898032 348859 385468 90839 272564 726833 677556 265782 
168625 424888 449321 555711 184386 811889 525064 547630 466768 236972 ,86020 308011 634132 631894 684260 622108 746740 868460 788330 419626 
152775 576153 432858 674257 915223 47182 476655 578857 204402 308933 ,692115 419592 417112 73503 934557 180645 629456 681339 476655 526292 
834280 810001 157443 509335 221598 746012 853926 624721 542608 981542 ,514559 885500 987109 987211 964919 914117 748184 194370 273186 931715 
450451 538821 185345 644849 588387 102081 344873 635645 563015 128847 ,16117 830953 450451 884288 93441 863673 635645 207332 563015 14812 
62879 500558 478377 130138 597027 214355 128847 139312 62798 201687 ,861476 193164 839601 831860 867769 919787 839501 210802 436611 170854 
4692 906016 501938 85379 402094 516322 650539 546348 491404 903146 ,454655 785349 4692 822717 601752 470918 937556 7002 85319 777180 
30466 504946 616326 172317 662725 488761 883464 176653 992808 18684 ,569421 48339 527753 283834 569277 514227 547305 571177 430965 431064 
267829 8828 332869 289288 513843 30466 617177 204546 627915 16722 ,74197 806982 74779 740361 75585 464651 732543 805955 837101 810238 
343295 591874 240247 296299 127575 505548 486146 955938 513215 373800 ,296967 985417 102595 99797 945282 514704 821104 265885 710120 508565 
960656 62879 667322 256352 686539 879679 797239 587815 846929 635645 ,100867 844213 860637 682260 166546 682873 191297 929555 886434 904814 
326715 386729 488761 698437 802102 915141 524605 67119 113008 327926 ,514765 515627 481286 363945 730929 281755 229112 904262 467843 360952 
72746 279228 501108 801059 192427 33657 725467 290740 976903 915316 ,439149 601317 485278 482453 92060 572355 365983 514573 976903 324998 
771594 225133 471753 747829 347364 240962 710832 594630 183810 616795 ,264627 200349 76454 520781 437073 382052 193319 272135 597600 527095 
818528 742928 92085 910305 391254 836748 854804 413176 874347 958105 ,514794 488795 938944 493753 616102 109657 693080 818528 568398 749104 
100490 221598 369851 187634 230396 713177 273972 161113 369124 848414 ,14970 121299 895241 390136 771542 861353 433693 228031 974714 899306 
517618 667728 17800 502069 152460 434234 541387 77541 467584 949418 ,925446 888146 812045 804838 762286 812782 410992 758333 251168 561784 
30466 617177 18684 522276 525240 68416 30245 249055 261483 152775 ,525408 322375 585385 502274 336655 82241 516401 59965 695033 336786 
651848 192614 789975 966233 877057 491553 405756 853306 103638 434133 ,407552 333723 576930 290683 406853 9660 235726 511340 793385 651848 
667728 1808 700101 866296 154628 320852 200324 367059 940590 61438 ,667728 1808 112088 700101 543316 493571 530416 866296 547331 154628 
8828 488761 636826 933947 254928 513843 609211 473396 45568 510313 ,23744 240230 323896 721718 83184 560353 405769 993340 313134 523307 
386729 32352 788491 414491 30466 960697 362577 305031 960161 279228 ,193656 754129 209567 63307 247060 694727 865790 289461 897476 975 
107654 39936 901637 216378 153421 91715 501591 411726 604367 496837 ,123794 972833 107654 490079 514912 333253 433448 561588 55617 717403 
374907 450451 509335 176213 66709 997767 318800 162059 289288 817744 ,743527 819835 483911 573294 670167 12027 154764 316643 394381 10759 
901547 344873 563015 300996 102081 201687 962603 53630 103460 883720 ,594653 841399 705930 321255 781179 877104 727181 883720 450451 437337 
598294 895674 106871 91926 528859 859641 712720 661542 594987 434595 ,227797 255924 128014 526216 314966 218579 84938 535814 186682 635974 
553407 772495 279228 501456 62407 414491 338233 742221 518504 820658 ,834586 870615 874476 678502 903931 503393 940709 29423 516321 52019 
521501 185872 721947 228892 62538 842271 618661 473460 92085 102818 ,680962 987711 90253 759646 703510 491584 60699 618661 220195 174772 
617177 41287 258115 903273 267829 168062 845904 269750 128601 946303 ,577791 43072 401820 694281 706573 140404 94337 220033 815199 41287 
500558 531690 128847 924645 214355 450451 588387 130138 297636 978892 ,834807 678077 996617 730733 746401 372898 895991 392253 681695 496969 
722918 269798 199883 70199 226599 744033 800602 193031 110280 909245 ,961676 970664 780830 989405 722918 100253 845024 628248 233145 807142 
310548 781572 38484 632460 340517 895459 566147 666429 218748 259387 ,660982 123206 820576 811631 869291 979700 52230 773678 27397 190601 
100496 295957 818313 636826 276063 47066 420148 467931 341394 513843 ,813236 660491 387077 192948 574168 550823 197247 276063 47066 250313 
36695 886142 785957 239556 348861 297805 102818 818073 62879 201687 ,262922 596775 416649 528291 576136 206888 155942 151104 914604 724749 
583362 36090 711591 102354 128847 848871 632643 148548 316803 331722 ,36090 340479 711591 102354 232776 478095 189684 127522 632643 583362 
742221 30466 332869 554870 509326 617177 204546 105103 576153 518504 ,923882 336647 321822 923577 947321 566304 780131 873564 522772 66330 
972167 332457 844385 404167 702274 42822 969085 987344 850970 899161 ,899428 103344 19133 973651 287136 100900 986059 979203 843562 103831 
261748 385015 416141 489744 696176 830587 834567 991794 432879 897069 ,684635 37103 845271 749600 493870 172088 697979 189549 436287 966299 
627915 488761 636826 824226 100496 204546 16722 267829 979573 513843 ,82274 61134 107831 83290 69131 339064 487044 84040 81722 247272 
900004 278936 627915 397279 895944 730361 61778 516114 237308 509326 ,430355 977598 357242 474328 501321 520373 484526 778135 227448 689534 
419414 508136 910763 603115 345748 89141 518326 307756 600758 259725 ,497357 542491 327620 497069 973191 2266 471573 306609 337330 29793 
267829 3748 490079 268145 662984 905660 522254 230198 615746 30245 ,198397 481974 950688 514743 781432 851232 193443 264560 512869 925735 
353766 565076 584788 731877 645372 555542 83284 567138 379816 224064 ,481040 848061 832010 14562 12683 516362 14538 12644 519376 40661 
711591 493710 772731 710560 988060 399459 256924 251462 767612 483525 ,915630 874215 89539 710129 760036 645902 208940 757187 668292 248317 
904876 895459 728292 214355 627330 243026 509335 206171 848414 395782 ,451807 58132 710230 68724 330347 531110 503905 519558 173393 488003 
663103 44844 785091 750555 851895 279725 869887 534579 356174 249261 ,293614 105029 123466 32691 424066 784882 212179 422952 367893 238695 
136532 519715 944559 97230 437003 590557 524885 834734 572265 549165 ,590557 524885 519715 572265 72945 790266 175483 436955 146260 136532 
904624 100496 289288 824226 234162 254928 8828 405477 636826 53776 ,999311 191134 558235 642247 695568 637322 572339 7380 407505 770174 
617177 518504 516549 72746 62407 41287 30466 414491 218615 332869 ,427515 510271 920942 139967 217998 227660 822997 917855 718283 23748 
377876 477288 328069 49253 471848 790422 57446 681891 471517 962731 ,782796 922022 296482 377876 700277 903697 898754 807804 733566 476188 
828035 893852 34239 176213 208930 219082 249355 865388 253673 483155 ,918638 369068 538583 956863 625820 738324 258870 219082 636131 125433 
420148 807317 966541 576153 54179 873679 577538 56020 682366 237923 ,262456 82035 675363 281790 241746 546604 598088 527754 271341 532446 
944559 80957 551303 725467 576153 254928 285731 386729 590441 742221 ,327323 172825 622200 385529 178109 623394 21963 988328 525968 34228 
527344 828420 699595 927095 562935 628479 385215 58654 747421 605271 ,823155 596231 914384 72431 825333 30641 747466 340521 786930 511229 
178042 638645 576153 658658 550713 698478 866262 303858 152775 731416 ,408766 702626 726359 971465 947987 171337 405394 722752 107873 285839 
599971 6382 698932 551752 106015 686893 525240 196570 869902 466042 ,91043 710853 711412 229275 649939 978376 60191 279285 228688 861202 
30466 617177 376277 495030 267829 566262 94099 748630 610061 525240 ,82504 338640 421656 818254 16642 433524 593926 156304 487909 54551 
488761 100496 834734 636826 824226 478271 89419 97230 16722 892496 ,704153 348076 347386 557965 192739 350126 11799 986920 7724 163463 
633608 802437 598826 636574 816963 361250 441706 183599 882416 867104 ,729315 64643 75102 467998 513881 172234 270333 269879 332488 499216 
720199 432879 385015 308637 463411 739188 822627 89804 31078 5373 ,511757 716810 832940 725893 840900 504449 798803 89454 715394 88330 
94099 590441 329704 801059 46766 32317 875636 694109 981083 153423 ,188330 968212 999212 563405 696284 96742 524565 272247 310002 562069 
185390 739385 303369 107660 976247 746258 565460 126298 371527 902064 ,635235 874440 679295 185390 303369 865003 234732 329108 194987 727009 
531690 614134 62879 450451 905442 318800 500558 198529 686539 268264 ,725448 566136 208242 198797 11827 994367 416830 914876 269479 841610 
267829 385767 617177 453510 208461 146599 305058 946303 633165 30466 ,633165 802949 518247 129802 454587 758643 743202 696574 583926 276769 
848913 123767 514785 627990 343295 348861 295516 62879 740356 812260 ,858732 211087 925607 234697 616494 857508 442049 197419 494623 344615 
949952 408004 52144 303144 943241 802775 508223 726964 636019 518659 ,499775 110128 158819 615654 354011 171613 439770 437855 367167 215458 
926190 57074 935781 58457 987344 435974 634746 734740 394319 770844 ,386860 383434 629387 974240 842743 844143 174047 974878 103940 989941 
890851 224651 905381 845267 796325 563015 940026 538689 595132 384495 ,136210 509406 510503 209877 504861 159684 258827 752217 493625 136650 
62879 585492 595713 918839 596512 883968 180151 661070 600413 61471 ,62879 549050 797665 577763 633875 585492 214355 116173 252064 595713 
299639 738754 333314 688925 559894 317135 266724 950404 527947 848691 ,394142 981724 178960 120200 265078 694818 860710 617312 402864 664484 
204546 267829 576153 385015 308933 113008 927095 728480 432879 513843 ,266160 714340 772242 361099 920384 36445 438559 449545 33273 283037 
267829 463411 30466 234553 617177 210214 364938 865883 495030 739188 ,474857 947061 721439 115537 964941 753345 988330 380811 606192 708289 
636826 8828 608670 488761 528859 254928 895674 892496 40916 742221 ,848186 871039 130669 528859 210014 689552 895674 607141 188577 572374 
500558 62879 770844 842271 128847 509335 450451 425492 987336 338599 ,867662 517036 768961 47221 257533 625569 312945 310727 707699 596101 
352382 572845 967845 532802 429625 940962 562935 238726 296208 933867 ,436716 802564 950025 971948 421718 501470 20768 271274 473034 742327 
30466 172317 576323 234553 736586 187680 662984 289288 915316 451357 ,61410 48855 274120 716578 272235 431196 682860 420992 124762 787505 
370357 818313 576153 997991 513843 244168 152775 872229 501108 805122 ,113178 795644 215436 509132 908722 971923 369099 875773 622226 68994 
639487 218137 655499 369936 452305 384403 507981 617015 634744 479000 ,106080 480306 732947 814708 897340 737915 885314 948748 878417 375241 
82924 684889 42521 473988 501085 686800 562353 135729 701763 132350 ,82924 459973 684889 572227 186777 453813 86101 899881 278885 390956 
85195 128312 684383 401012 690228 334108 448352 91079 560677 372945 ,85195 82298 560104 278660 128312 511337 567842 516100 515979 945941 
573929 297636 89933 491808 89049 381568 943477 556699 66219 261393 ,501192 290129 77007 796584 475974 348553 706981 712555 190456 301227 
698478 528918 305031 410914 152775 432858 262964 181023 414491 175569 ,702368 859117 709957 171157 128391 241854 913338 177552 706573 114170 
500558 702274 870441 969085 320916 476785 652750 793605 57748 810889 ,554055 996839 925334 205026 414144 996761 427586 280453 108803 468092 
725467 523176 172317 658248 479000 849653 234749 41404 374984 532162 ,466800 598421 559996 618873 960658 295151 469486 508863 279193 754918 
718040 742221 660111 449557 68472 94078 203377 650808 797952 347694 ,764693 781339 250660 279047 765069 539809 283178 674353 140593 638595 
264262 905442 75999 74760 126448 569698 865567 823305 729177 240413 ,461268 225646 527828 522401 224082 505029 236250 210540 485331 692732 
113008 576153 979573 93213 267829 308933 861433 88784 377580 828420 ,530351 451816 503012 540683 68403 540814 502300 56887 294864 292214 
510343 265130 746418 699572 534872 504543 34865 589874 132124 414043 ,906722 418198 157473 497839 604437 745689 690464 20342 510343 265130 
32352 229136 483155 16722 30466 417112 436658 100496 818313 698478 ,522179 522580 744222 528870 740294 529246 587992 480825 13347 740261 
509335 341595 856877 4467 413755 19375 538689 115119 941628 503698 ,522326 148704 108528 862708 628645 90398 590029 523522 350165 891032 
624721 509335 221598 451332 929146 14907 729289 258513 781572 201637 ,862260 58750 863731 224690 430221 206260 861353 919766 13020 880657 
289288 348900 915316 159032 487061 297000 500480 996493 172317 555505 ,555505 353465 926528 192789 337486 43903 351642 507146 628188 119078 
824226 488761 915141 113008 308933 892496 518085 234749 80957 405610 ,824226 488761 561151 570021 915141 109036 698437 405610 802102 113008 
774324 492453 289288 449937 170602 291492 355017 743203 577958 263252 ,350418 232530 247599 366651 246585 292134 453540 158113 814995 472302 
662984 267829 627800 3748 363012 30245 659552 504946 295050 710408 ,772210 110891 406539 504475 995302 338926 645681 883542 46908 504405 
254928 234553 597526 80957 30466 249336 16722 18684 8828 249055 ,671485 893736 295080 572956 597526 61957 88547 472131 158679 413936 
